tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
4.966299,4.536913,4.329575,5.99691,4.873277,-1.859493,-1.969932,-1.043852,0.806279,0.328946,0.224657,0.905824,0.06338388,unstable
5.874752,6.636065,9.542791,4.029977,3.233809,-0.633601,-1.583444,-1.016763,0.458043,0.597933,0.127654,0.464095,0.023861,unstable
9.71805,1.568638,9.928525,3.477468,3.697184,-1.360641,-1.415556,-0.920987,0.857598,0.746406,0.360908,0.612772,0.006504706,unstable
9.081008,9.861482,8.578244,3.006405,3.758945,-1.752541,-1.282223,-0.72418,0.886878,0.63046,0.348931,0.329132,0.05407945,unstable
2.684229,6.891085,1.730129,4.432898,4.389082,-1.308068,-1.55461,-1.526403,0.881586,0.128302,0.431798,0.628442,-0.005772584,stable
6.614117,9.100041,5.344674,0.706861,4.576136,-1.931064,-0.779733,-1.865338,0.082063,0.17909,0.353525,0.604223,-0.04945708,stable
1.376453,7.160785,9.638368,6.298357,5.378774,-1.883743,-1.705492,-1.789539,0.35436,0.730219,0.317424,0.346801,0.01586301,unstable
4.292177,2.90345,7.558527,6.519874,4.650997,-1.105046,-1.759771,-1.78618,0.595198,0.723041,0.208128,0.188746,-0.002879841,stable
8.653505,5.736916,6.660231,9.087241,3.077114,-0.951742,-1.417577,-0.707795,0.072072,0.295937,0.131195,0.78005,0.01734565,unstable
1.933401,6.665227,0.683171,2.954398,4.136292,-1.299329,-1.652878,-1.184085,0.61916,0.327869,0.121567,0.972416,-0.03563182,stable
3.891782,5.54185,3.11794,8.496899,3.201669,-1.287812,-0.778307,-1.13555,0.112842,0.779447,0.714645,0.462056,0.028518,unstable
1.547503,7.900293,4.05639,1.360647,4.685069,-1.085532,-1.706892,-1.892644,0.906812,0.211941,0.750676,0.349934,-0.04506267,stable
3.407153,9.842864,7.584752,7.520126,4.392062,-1.848863,-1.358897,-1.184302,0.872137,0.107129,0.063954,0.824124,0.01934756,unstable
2.443037,2.523061,2.532143,3.587152,3.069871,-0.834403,-0.808669,-1.426799,0.173026,0.66599,0.053685,0.081176,-0.02605409,stable
7.835116,7.632429,3.130449,2.587835,4.471877,-1.660015,-1.77793,-1.033932,0.425138,0.682799,0.509117,0.310127,0.01984473,unstable
8.159138,3.649496,5.883432,2.401491,4.312367,-1.325785,-1.920686,-1.065896,0.659619,0.483859,0.405977,0.445112,0.01781833,unstable
8.372775,8.350402,0.825197,9.664294,3.235497,-0.834858,-1.693719,-0.706919,0.131687,0.324148,0.133872,0.554876,0.00253646,unstable
6.222154,0.949628,7.245771,7.318276,4.431177,-1.794564,-1.964026,-0.672586,0.547182,0.409904,0.268516,0.200767,-0.01837376,stable
5.881681,8.59328,6.19974,8.964522,3.969863,-0.871815,-1.855897,-1.242151,0.417535,0.066219,0.611569,0.289658,0.01734584,unstable
3.4268,2.888711,8.620657,9.687642,3.996081,-1.267429,-1.18353,-1.545121,0.680659,0.743758,0.994885,0.435476,0.04245589,unstable
1.358582,5.642444,0.904428,8.144333,2.886829,-1.059545,-1.096114,-0.73117,0.530461,0.796444,0.110606,0.570133,0.002647869,unstable
5.420268,5.049795,4.316003,9.424902,4.637123,-1.799211,-1.367849,-1.470063,0.37416,0.320785,0.461244,0.649473,0.02723964,unstable
5.565054,2.322277,2.441644,9.743213,2.782338,-1.090838,-0.957721,-0.733779,0.552921,0.649767,0.416323,0.59546,-0.004360502,stable
9.142424,8.662059,5.94201,3.173778,4.040143,-1.189357,-1.014619,-1.836168,0.954231,0.285996,0.10625,0.908329,0.03363686,unstable
3.141765,3.232374,6.387231,2.478498,4.527775,-1.685733,-1.266909,-1.575133,0.335455,0.846822,0.075189,0.256762,-0.03996784,stable
0.713541,5.47152,3.151738,1.922809,4.765465,-0.96367,-1.950161,-1.851634,0.750435,0.769088,0.985109,0.86438,0.02555269,unstable
9.740634,2.005255,3.975328,3.043408,2.495896,-0.982267,-0.963389,-0.55024,0.946611,0.784815,0.682354,0.285792,0.0006620571,unstable
2.588112,7.982194,5.911554,2.10547,4.53146,-1.951851,-1.967099,-0.61251,0.464405,0.870957,0.680696,0.415866,0.03568722,unstable
6.616788,8.357648,4.555553,1.961197,4.451349,-1.321187,-1.434699,-1.695463,0.937408,0.172991,0.05467,0.766337,0.004118164,unstable
8.026668,8.57567,3.706494,9.613534,2.859557,-0.57746,-1.407409,-0.874688,0.667501,0.548218,0.630332,0.855757,0.06878208,unstable
5.263281,7.58055,4.952159,9.449389,4.637765,-1.067342,-1.763003,-1.80742,0.494641,0.760685,0.925285,0.776446,0.08213514,unstable
3.527183,7.262831,1.270577,5.660457,4.912146,-1.983352,-1.967678,-0.961117,0.365809,0.279431,0.22956,0.555723,-0.01805258,stable
7.042526,6.406949,1.257005,4.660547,3.270594,-0.761347,-0.81078,-1.698467,0.95329,0.535183,0.357693,0.486756,0.04631568,unstable
9.226161,5.705027,9.871561,7.290461,3.076406,-0.539061,-1.381655,-1.155689,0.827132,0.813213,0.677508,0.180134,0.0696468,unstable
1.675435,1.126237,2.367892,9.328948,4.311986,-0.627692,-1.721848,-1.962446,0.856784,0.467879,0.062069,0.474394,-0.02768074,stable
1.678805,4.252165,5.52138,5.13996,4.09701,-0.593874,-1.531084,-1.972052,0.594646,0.845712,0.768715,0.252917,0.04327333,unstable
9.704175,7.657351,7.944391,9.507268,3.687376,-1.738134,-1.192396,-0.756846,0.278921,0.097148,0.835872,0.160395,0.02779386,unstable
7.256833,5.234677,8.499961,2.980256,4.888808,-1.440601,-1.860929,-1.587279,0.921931,0.54135,0.220914,0.664501,0.04904318,unstable
2.802925,9.550691,6.489294,1.732312,4.603019,-1.455614,-1.895852,-1.251553,0.652274,0.106582,0.675444,0.922406,-0.01706057,stable
4.47315,6.133443,9.584952,4.737488,4.24045,-1.665041,-1.881165,-0.694245,0.816153,0.765627,0.398255,0.356318,0.05525886,unstable
7.616165,6.297884,8.33821,8.97785,4.553959,-1.961188,-1.483919,-1.108852,0.532678,0.704532,0.056749,0.881123,0.0632241,unstable
2.904002,8.041284,1.353475,7.581781,2.321141,-0.794559,-0.753818,-0.772764,0.351677,0.379086,0.34042,0.531401,-0.01080232,stable
9.613171,5.981555,7.19499,5.99948,4.487606,-1.541638,-1.315944,-1.630025,0.669032,0.786546,0.421954,0.549589,0.06895537,unstable
8.827521,4.689696,3.421025,1.046996,3.908479,-1.155476,-1.860643,-0.89236,0.629089,0.913909,0.436724,0.875344,0.001377755,unstable
2.303047,2.635229,6.960553,5.868053,1.934568,-0.720795,-0.58012,-0.633653,0.05639,0.733036,0.415114,0.438579,-0.007220058,stable
1.619402,5.798795,4.777934,7.421569,3.966839,-1.329968,-1.79731,-0.839561,0.759259,0.087301,0.72246,0.603556,0.007198241,unstable
3.101671,9.529175,1.30189,9.916028,3.828768,-1.073933,-1.027375,-1.72746,0.155604,0.9802,0.448519,0.306934,0.01456503,unstable
4.993997,4.500917,5.710401,7.955168,4.002108,-0.889615,-1.797639,-1.314854,0.484347,0.475542,0.107442,0.864119,0.04171703,unstable
4.472615,4.713607,1.981333,2.0458,4.263681,-0.870896,-1.446375,-1.94641,0.473278,0.919705,0.756711,0.505753,0.03972973,unstable
7.241011,5.618174,6.326949,4.231791,2.767685,-0.877698,-0.963654,-0.926332,0.385229,0.704841,0.840949,0.597577,0.07500513,unstable
1.342908,8.090703,5.301291,5.261966,2.45816,-0.815827,-1.007652,-0.634681,0.3796,0.697887,0.606061,0.143091,0.01235779,unstable
9.38792,0.603841,2.857309,9.302234,2.65115,-0.705884,-0.801987,-1.143279,0.421716,0.503088,0.848428,0.116022,-0.03902272,stable
1.922578,3.102832,1.575956,5.890642,3.745574,-1.509022,-0.655839,-1.580713,0.127079,0.236527,0.425229,0.669084,-0.04393415,stable
7.628252,6.945365,4.253904,1.338146,4.598124,-1.785553,-1.440615,-1.371956,0.739754,0.789737,0.52871,0.584288,0.0438878,unstable
2.818829,9.334098,6.051851,7.419546,3.095975,-0.703528,-1.091586,-1.300861,0.061892,0.249097,0.838269,0.101607,0.003357554,unstable
8.298832,9.810728,9.729571,2.182364,3.510531,-1.195754,-0.720728,-1.594049,0.244381,0.165943,0.96786,0.330341,0.02703825,unstable
4.122655,0.773952,0.516747,4.287423,4.469153,-0.906819,-1.934742,-1.627591,0.30064,0.154804,0.267797,0.599849,-0.03276239,stable
